word,x,y
prices,26.2516421185,30.2633114154
round,-34.7757476444,13.842816752
december,-34.3033884413,39.7092499204
nations,36.7692010727,1.93920801707
'm,-7.16501986173,-20.8582321051
human,24.1526948792,-3.66415976598
india,43.9142245241,9.68657808455
defense,34.8559483315,-17.6961548191
asked,6.77501352593,-25.5840343537
total,-16.1721587002,42.7044868845
october,-33.9465217632,39.4934759017
players,-43.0424494942,4.23940362275
bill,31.3443340635,-11.5179660211
important,10.6098897763,1.54305352092
southern,2.36111221504,32.8918179668
move,14.723837914,-11.5080322629
fire,-19.3857296143,5.27126934677
population,-5.95965593075,40.4613930854
rose,28.8128517964,34.5592288107
november,-33.5161095607,38.6926895299
include,5.46313321376,6.54129158256
further,14.8797169675,-3.04821257519
nuclear,43.0847341772,-7.22173640868
street,-10.1975186826,26.8957222157
taken,-8.92574319573,3.59000808297
media,0.238049113855,-30.2611437026
different,4.21693944987,1.73602567035
issue,10.3519219779,-20.7561698854
received,-33.8279050506,6.34729293421
secretary,-0.318421463307,-41.6810026102
return,8.1065669467,-16.6082130856
college,-18.8674145349,-39.9685236039
working,-16.2156250409,-7.86216456099
community,-21.3704661315,-18.0216230213
eight,-18.8400557133,30.0115926152
groups,26.1118861555,-21.2255919793
despite,18.2733145735,-0.749907108858
level,22.6032152219,34.8625879685
largest,10.706081016,32.3053502948
whose,-14.272058347,-11.4152223632
attacks,40.2813468051,-29.6006648726
germany,42.4604090562,3.72250513436
august,-34.4179826109,40.1852195573
change,13.894037747,-5.89210872414
church,-23.3916748521,-21.0290923016
nation,8.58007544245,13.6612001223
german,49.4066847862,-0.827695453521
station,-7.83920380291,32.2931159618
london,-26.3122544983,1.49946675233
weeks,-21.3435835062,18.8097410558
having,-9.00902230862,-0.274454235166
18,-24.6535610452,42.8991208577
research,-20.2551963344,-43.8919191294
black,-22.4174759082,-0.140681353272
services,20.7029517172,13.3851834648
story,-28.3676662828,-11.6779054492
6,-26.1993298117,39.2476960519
europe,39.7416766543,4.0975422145
sales,26.8653344788,27.7241737632
policy,26.2024022864,-10.3741991485
visit,-26.2028262109,16.7738250891
northern,2.2531431207,32.6823892225
lot,-6.90159794645,-18.503643546
across,-3.2885905248,24.9812340592
per,-16.2242814567,44.4270129548
